time_key,open,close,high,low,volume
2013-08-01,94.291,94.371,94.39,94.27,78904.0
2013-08-02,94.44,94.17,94.49,94.152,49201.0
2013-08-05,94.182,94.17,94.249,94.137,82713.0
2013-08-06,94.186,94.18,94.238,94.145,83455.0
2013-08-07,94.23,93.836,94.23,93.79,52913.0
2013-08-08,93.886,93.68,93.9,93.593,52926.0
2013-08-09,93.64,93.651,93.831,93.625,63742.0
2013-08-12,93.65,93.53,93.728,93.491,63488.0
2013-08-13,93.54,93.36,93.587,93.346,62007.0
2013-08-14,93.36,93.091,93.398,93.081,57542.0
2013-08-15,93.091,93.122,93.14,92.87,55832.0
2013-08-16,93.125,93.327,93.35,93.118,56622.0
2013-08-19,93.339,92.894,93.339,92.878,45911.0
2013-08-20,92.894,92.937,92.989,92.61,39249.0
2013-08-21,92.924,92.971,93.115,92.79,49473.0
2013-08-22,92.978,92.892,93.04,92.89,54664.0
2013-08-23,92.973,93.148,93.225,92.901,39264.0
2013-08-26,93.148,93.193,93.488,93.14,43823.0
2013-08-27,93.27,93.196,94.19,93.19,61134.0
2013-08-28,93.206,92.856,93.228,92.79,51266.0
2013-08-29,92.862,92.905,93.21,92.86,80603.0
2013-08-30,92.94,93.027,93.03,92.911,72010.0
2013-09-02,92.98,93.014,93.111,92.97,45724.0
2013-09-03,93.01,92.963,93.02,92.888,69573.0
2013-09-04,92.963,92.904,92.99,92.902,77782.0
2013-09-05,92.895,92.847,92.92,92.83,93549.0
2013-09-06,92.857,92.795,92.929,92.79,72015.0
2013-09-09,92.778,92.714,92.829,92.7,40180.0
2013-09-10,92.721,92.627,92.74,92.62,50955.0
2013-09-11,92.61,92.292,92.61,92.12,17552.0
2013-09-12,92.17,92.241,92.475,92.17,37016.0
2013-09-13,92.288,92.301,92.353,92.236,48953.0
2013-09-16,92.39,92.598,92.67,92.318,48784.0
2013-09-17,92.411,92.649,92.848,92.411,63926.0
2013-09-18,92.649,92.797,92.875,92.619,49673.0
2013-09-23,92.801,92.838,93.093,92.49,79473.0
2013-09-24,92.87,92.678,92.889,92.6,93052.0
2013-09-25,92.71,92.777,92.899,92.49,86193.0
2013-09-26,92.74,93.019,93.169,92.74,95830.0
2013-09-27,92.99,92.981,93.075,92.94,74784.0
2013-09-30,92.982,93.028,93.105,92.981,52715.0
2013-10-08,93.031,93.076,93.29,93.031,42488.0
2013-10-09,93.083,93.149,93.392,92.49,33148.0
2013-10-10,93.149,93.091,93.239,92.961,23281.0
2013-10-11,93.17,93.077,93.2,93.01,25213.0
2013-10-14,93.077,92.895,93.077,92.79,36848.0
2013-10-15,92.906,92.881,93.88,92.81,82705.0
2013-10-16,92.886,92.959,93.035,92.845,69197.0
2013-10-17,92.967,92.763,92.97,92.626,66613.0
2013-10-18,92.763,92.774,92.878,92.695,114404.0
2013-10-21,92.768,92.744,92.825,92.71,76921.0
2013-10-22,92.681,92.699,92.74,92.624,70318.0
2013-10-23,92.692,92.74,92.777,92.671,69208.0
2013-10-24,92.69,92.577,92.765,92.544,90266.0
2013-10-25,92.56,92.482,92.619,92.453,85836.0
2013-10-28,92.658,92.467,92.658,92.292,91371.0
2013-10-29,92.578,92.379,92.665,92.337,79246.0
2013-10-30,92.386,92.328,92.461,92.279,137011.0
2013-10-31,92.405,92.627,92.688,92.361,160060.0
2013-11-01,92.63,92.707,92.821,92.63,102552.0
2013-11-04,92.718,92.592,92.856,92.432,65790.0
2013-11-05,92.613,92.465,92.658,92.3,78854.0
2013-11-06,92.471,92.188,92.498,92.092,117606.0
2013-11-07,92.189,91.709,92.21,91.545,33889.0
2013-11-08,91.623,91.326,91.81,91.211,27324.0
2013-11-11,91.04,90.89,91.328,90.701,38263.0
2013-11-12,90.91,91.103,91.672,90.89,42079.0
2013-11-13,91.103,90.681,91.29,90.604,47305.0
2013-11-14,90.691,91.046,91.178,90.66,55150.0
2013-11-15,91.146,90.674,91.172,90.498,43482.0
2013-11-18,90.675,90.504,90.719,90.477,55313.0
2013-11-19,90.583,90.79,90.9,90.505,58837.0
2013-11-20,90.836,90.87,91.085,90.695,75476.0
2013-11-21,90.97,91.06,91.17,90.89,94056.0
2013-11-22,91.073,91.413,91.54,91.073,92939.0
2013-11-25,91.445,91.332,91.564,91.291,92810.0
2013-11-26,91.48,91.29,91.513,91.153,191172.0
2013-11-27,91.33,91.501,91.605,91.32,162909.0
2013-11-28,91.49,91.504,91.65,91.39,193556.0
2013-11-29,91.534,91.507,91.805,91.504,174654.0
2013-12-02,91.51,90.82,91.578,90.0,147101.0
2013-12-03,90.88,91.176,91.209,90.71,132170.0
2013-12-04,91.29,91.268,91.735,91.14,199898.0
2013-12-05,91.22,91.361,91.6,91.22,145501.0
2013-12-06,91.458,91.314,91.499,91.29,136217.0
2013-12-09,91.323,91.098,91.42,91.012,64263.0
2013-12-10,91.045,90.861,91.065,90.841,79052.0
2013-12-11,90.73,90.855,91.055,90.73,58720.0
2013-12-12,90.89,91.105,91.27,90.85,60444.0
2013-12-13,91.12,91.137,91.39,91.071,83875.0
2013-12-16,91.358,91.041,91.369,90.995,61492.0
2013-12-17,91.178,90.997,91.19,90.984,81480.0
2013-12-18,91.041,90.914,91.055,90.84,91914.0
2013-12-19,90.887,90.766,90.966,90.755,67237.0
2013-12-20,90.815,90.79,90.919,90.771,54078.0
2013-12-23,90.813,90.907,91.023,90.706,67033.0
2013-12-24,90.948,90.883,91.33,90.853,52544.0
2013-12-25,90.895,90.979,91.1,90.895,59598.0
2013-12-26,91.03,91.037,91.239,90.942,24859.0
2013-12-27,91.045,90.933,91.18,90.901,37522.0
2013-12-30,90.925,90.943,91.249,90.925,58882.0
2013-12-31,90.95,91.168,91.192,90.911,28073.0
2014-01-02,91.103,90.996,91.2,90.93,8231.0
2014-01-03,90.988,90.741,91.02,90.72,3865.0
2014-01-06,90.78,90.553,90.79,90.529,2547.0
2014-01-07,90.579,90.723,90.79,90.579,1908.0
2014-01-08,90.595,90.986,91.007,90.592,3087.0
2014-01-09,90.99,90.891,91.13,90.891,2754.0
2014-01-10,91.009,90.957,91.01,90.901,9261.0
2014-01-13,91.289,91.07,91.72,90.941,6262.0
2014-01-14,91.082,90.989,91.082,90.948,5813.0
2014-01-15,90.971,91.064,91.068,90.891,6646.0
2014-01-16,91.339,91.062,91.42,90.958,9780.0
2014-01-17,91.061,90.92,91.088,90.89,9014.0
2014-01-20,91.059,90.869,91.059,90.806,13714.0
2014-01-21,90.99,91.218,91.29,90.89,12265.0
2014-01-22,91.31,91.51,91.625,91.223,11271.0
2014-01-23,91.51,91.584,91.71,91.51,21732.0
2014-01-24,91.584,91.516,91.584,91.441,11093.0
2014-01-27,91.516,91.935,91.95,91.191,21442.0
2014-01-28,91.89,91.891,91.94,91.758,15232.0
2014-01-29,91.891,91.855,91.94,90.899,7523.0
2014-01-30,91.726,91.89,91.95,91.726,5409.0
2014-02-07,91.89,91.951,92.049,91.818,6096.0
2014-02-10,91.955,91.96,92.09,91.951,14454.0
2014-02-11,91.96,92.012,92.04,91.19,11936.0
2014-02-12,92.029,92.013,92.083,92.011,14477.0
2014-02-13,92.04,92.06,92.07,91.794,18480.0
2014-02-14,92.06,92.2,92.2,92.06,19656.0
2014-02-17,92.2,92.165,92.203,92.1,26794.0
2014-02-18,92.176,92.21,92.46,92.094,32327.0
2014-02-19,92.16,92.457,92.495,92.141,14603.0
2014-02-20,92.459,92.39,92.49,92.298,15546.0
2014-02-21,92.39,92.251,92.44,92.22,14559.0
2014-02-24,92.223,92.415,92.48,92.223,21001.0
2014-02-25,92.415,92.623,92.626,92.415,36751.0
2014-02-26,92.656,92.623,92.872,92.556,30022.0
2014-02-27,92.688,92.859,92.96,92.688,30647.0
2014-02-28,92.87,92.823,92.96,92.79,26196.0
2014-03-03,92.79,92.751,92.894,92.698,23783.0
2014-03-04,92.712,92.39,92.836,92.306,11815.0
2014-03-05,92.34,92.339,92.669,92.315,22839.0
2014-03-06,92.38,92.413,92.5,92.256,19734.0
2014-03-07,92.14,92.36,92.59,92.14,11063.0
2014-03-10,92.39,92.356,92.423,92.281,22082.0
2014-03-11,82.667,92.425,92.49,82.667,13427.0
2014-03-12,92.505,92.432,92.56,92.39,32680.0
2014-03-13,92.48,92.7,92.702,92.297,13292.0
2014-03-14,92.5,92.741,92.99,92.5,9256.0
2014-03-17,92.749,92.842,92.985,92.749,16785.0
2014-03-18,92.826,92.654,92.88,92.638,17508.0
2014-03-19,92.69,92.578,92.761,92.56,23416.0
2014-03-20,92.5,92.528,92.632,92.49,25722.0
2014-03-21,92.579,92.739,92.873,92.479,20676.0
2014-03-24,92.54,92.747,92.809,92.54,26380.0
2014-03-25,92.807,92.694,92.807,92.636,31553.0
2014-03-26,92.695,92.689,92.757,92.648,23224.0
2014-03-27,92.648,92.664,92.692,92.592,33287.0
2014-03-28,92.49,92.502,92.685,92.473,23517.0
2014-03-31,92.529,92.449,92.551,92.4,24529.0
2014-04-01,92.391,92.398,92.478,91.892,19594.0
2014-04-02,92.35,92.312,92.515,92.286,17841.0
2014-04-03,92.306,92.309,92.402,92.223,19294.0
2014-04-04,91.901,92.212,92.363,91.901,21206.0
2014-04-08,91.89,92.287,92.288,91.89,18452.0
2014-04-09,92.24,92.379,92.42,92.24,23611.0
