date,position,transformer_pred,bull_prob,strategy_ret,market_ret
2012-12-27,0.8,-0.015171036,0.15696432039675262,0.01112104139328003,0.014401302
2012-12-28,0.8,-0.0060809106,0.19878062491660856,0.013720104098320009,0.01715013
2012-12-31,0.8,-0.01260417,0.19180155490365944,0.0004628162365406752,0.0005785203
2013-01-04,0.8,-0.011285767,0.1609879171411063,0.0036613769829273225,0.004576721
2013-01-07,0.8,-0.00984709,0.01450340629575092,-0.003369876742362976,-0.004212346
2013-01-08,0.8,-0.014057055,0.0019905218890441238,0.0002533920807763934,0.0003167401
2013-01-09,0.8,-0.011182785,0.000989838078860558,0.0014048691838979722,0.0017560865
2013-01-10,0.8,-0.01032199,0.0004153794317092524,-0.015107552707195283,-0.01888444
2013-01-11,0.8,-0.013204195,0.00016076940415643462,0.02987922728061676,0.037349034
2013-01-14,0.8,0.009303018,0.08644001365643773,0.0056069612503051765,0.0070087016
2013-01-15,1.0,0.0050839484,0.993446511839235,-0.007357012650370598,-0.0072570127
2013-01-16,1.0,0.005741827,0.9988646696666909,-0.009485729038715363,-0.009485729
2013-01-17,1.0,0.014029719,0.9987217095618337,0.016580931842327118,0.016580932
2013-01-18,1.0,0.013551798,0.9981785191886754,0.005938930436968803,0.0059389304
2013-01-21,1.0,0.007280633,0.9949970810124527,-0.005376563407480717,-0.0053765634
2013-01-22,0.8,0.005067356,0.10667295659370456,0.0031465130090713505,0.0040581413
2013-01-23,0.8,0.009055957,0.013219529856517385,-0.007617475837469101,-0.009521845
2013-01-24,0.8,0.0069548115,0.002254677244780439,-0.0034393835812807083,-0.0042992295
2013-01-25,0.8,0.0032651275,0.002040823905517727,0.024564629793167116,0.030705787
2013-01-28,0.8,0.0065630376,0.005936679085223073,0.007210624217987061,0.00901328
2013-01-29,1.0,0.0070681125,0.9585560284966108,0.0046869635745882985,0.0047869636
2013-01-30,1.0,0.009544328,0.9461122121850584,-0.0006808555335737765,-0.00068085553
2013-01-31,1.0,0.0062682778,0.8441686398791536,0.020788196474313736,0.020788196
2013-02-01,0.8,0.0051643252,0.4849649112185773,0.0012723405078053475,0.0017154256
2013-02-04,0.8,0.0068385154,0.25763076440891997,0.006855474412441254,0.008569343
2013-02-05,0.8,0.001412198,0.005229042327083616,0.0011998156085610391,0.0014997695
2013-02-06,0.8,0.0035757571,0.0005915403227089568,-0.004615861549973488,-0.005769827
2013-02-07,0.8,0.0006445497,0.0005161836382929437,0.0034304775297641756,0.004288097
2013-02-08,0.8,0.005682878,0.0011156871369351136,-0.009950030595064163,-0.012437538
2013-02-18,0.8,-0.0037595257,8.413310592792731e-05,-0.015300996601581573,-0.019126246
2013-02-19,0.8,0.011800759,0.0006524762994525587,0.005056946352124215,0.006321183
2013-02-20,0.8,0.011017345,0.008279682829687392,-0.02773451805114746,-0.034668148
2013-02-21,0.8,0.0075884014,0.07995069770308837,-0.004286424070596695,-0.00535803
2013-02-22,1.0,0.0060851276,0.9878045235261776,0.003114423079043627,0.003214423
2013-02-25,1.0,0.0054995567,0.9874173195611264,-0.014449603855609894,-0.014449604
2013-02-26,1.0,0.0056729466,0.9956508847816736,0.010495479218661785,0.010495479
2013-02-27,1.0,0.0061351955,0.9968140941692064,0.02986169047653675,0.02986169
2013-02-28,1.0,0.0037205666,0.9980573058431408,-0.0016809653025120497,-0.0016809653
2013-03-01,1.0,0.0021671802,0.9959462866791797,-0.04723040387034416,-0.047230404
2013-03-04,1.0,-0.0006490424,0.9458548515261698,0.0298327449709177,0.029832745
2013-03-05,1.2,0.0062225834,0.00021609239864123735,0.012366615810990333,0.0103888465
2013-03-06,1.2,0.0027304143,5.613131757806957e-07,-0.013991140946745872,-0.011659284
2013-03-07,1.2,0.0011005849,1.0720752909113632e-06,-0.005763049051165581,-0.004802541
2013-03-08,1.2,0.00079600513,6.69909396970697e-05,-0.006720922328531742,-0.0056007686
2013-03-11,1.2,-0.00018710643,0.006034331115264559,-0.017137887328863143,-0.014281573
2013-03-12,1.0,-0.00091938674,0.9932346362635648,-0.011164227670431136,-0.011064228
2013-03-13,0.8,0.001250498,0.057990943126365366,0.002043129333853722,0.0026789117
2013-03-14,0.8,0.0027786866,0.00017829777569279594,0.00176581721752882,0.0022072715
2013-03-15,0.8,0.0020151436,9.853376174595344e-05,-0.011861330270767212,-0.014826663
2013-03-18,0.8,-0.00059168786,0.00020430741314461385,0.007195543497800827,0.008994429
2013-03-19,0.8,0.0014136955,0.0023207255693174617,0.026507750153541565,0.033134688
2013-03-20,0.8,0.00046433508,0.047610251385974266,0.0014759360812604428,0.0018449201
2013-03-21,1.0,0.0023958683,0.9900333578553575,0.0011687980197370052,0.001268798
2013-03-22,1.0,-0.00075626373,0.99675112122346,-0.001991815399378538,-0.0019918154
2013-03-25,1.0,0.00013110042,0.9933313689960012,-0.014668304473161697,-0.0146683045
2013-03-26,1.0,-0.0006801486,0.9423295339033886,0.0032877293415367603,0.0032877293
2013-03-27,1.0,-0.0017020702,0.9381263858178757,-0.03314598649740219,-0.033145986
2013-03-28,0.8,-0.0015953481,0.22309256643285744,-0.0014519198633730413,-0.0016898998
2013-03-29,1.0,0.0048034266,0.8406281770951983,-0.0008577777723781764,-0.0007577778
2013-04-01,1.0,9.520352e-05,0.7419820821618899,-0.002731155836954713,-0.0027311558
2013-04-02,1.0,0.00053967535,0.6168069466908167,-0.0011428711004555225,-0.0011428711
2013-04-03,0.8,0.0014088601,0.4429234623945396,-0.0037320775747299193,-0.004540097
2013-04-08,0.8,0.002301082,0.20099792266521777,0.0055239018052816394,0.0069048773
2013-04-09,0.8,-0.0056470186,0.00010708232658827384,-0.0017250946998596192,-0.0016563684
2013-04-10,0.8,-0.0006949231,3.2132349514855036e-05,-0.002395235560834408,-0.0029940445
2013-04-11,0.8,-0.0018559471,2.900610084849612e-05,-0.005107719823718071,-0.00638465
2013-04-12,0.8,-0.0037915818,2.9712345761827155e-05,-0.008259836584329605,-0.010324796
2013-04-15,0.8,-0.0041254237,4.58129098387269e-05,0.007440607249736786,0.009300759
2013-04-16,0.8,-0.0051487535,0.00010849047489160204,-0.00036437131930142644,-0.00045546415
2013-04-17,0.8,-0.0026569515,0.00016473523889563957,0.0020733987912535667,0.0025917485
2013-04-18,0.8,-0.003179904,0.00016053305063470617,0.022080831229686737,0.027601039
2013-04-19,0.8,-0.0027398542,0.0033133851024964214,-0.0009983217343688012,-0.0012479022
2013-04-22,0.8,0.00061177835,0.3726604128734216,-0.026089933514595032,-0.032612417
2013-04-23,0.8,0.00693129,0.37987157121804194,0.014919593930244446,0.018649492
2013-04-24,1.0,0.0019740164,0.7892174558325846,-0.011261684989929199,-0.011161685
2013-04-25,1.0,0.004026886,0.7968131221842522,-0.008370020426809788,-0.00837002
2013-04-26,1.0,0.0023954883,0.830448241865347,0.0009516128338873386,0.00095161283
2013-05-02,1.0,0.0017938241,0.9722236177697157,0.01750962808728218,0.017509628
2013-05-03,1.0,0.0026818886,0.9887021853521015,0.013178403489291668,0.0131784035
2013-05-06,1.0,0.0021230727,0.6661050356952064,0.0015664808452129364,0.0015664808
2013-05-07,0.8,-0.001038827,0.19445930535190414,0.003956199267506599,0.005070249
2013-05-08,0.8,0.0005301684,0.009804107467224293,-0.004736346378922463,-0.005920433
2013-05-09,0.8,0.0015491284,0.00023090937363342087,0.004119465500116349,0.005149332
2013-05-10,0.8,-0.0022842288,0.0005106117933286393,-0.00317690446972847,-0.0039711306
2013-05-13,0.8,0.0019343719,0.00011783659475355699,-0.011920341849327089,-0.014900427
2013-05-14,0.8,-0.0034271218,4.538698243128494e-05,0.004348576068878174,0.00543572
2013-05-15,0.8,-0.0049891025,0.0004804384996230159,0.014477314054965974,0.018096643
2013-05-16,0.8,-0.0034643002,0.0006161785316564366,0.012234822660684586,0.015293528
2013-05-17,0.8,0.0018858314,0.020747304421507656,0.005401373282074929,0.0067517166
2013-05-20,0.8,0.0011767,0.039016882647233415,0.001604759693145752,0.0020059496
2013-05-21,0.8,-0.001649715,0.01814425425523621,0.0009723136201500893,0.001215392
2013-05-22,0.8,0.0057218,0.0002432185584552111,-0.010822948813438416,-0.013528686
2013-05-23,0.8,0.0053022057,0.0001928324379980819,0.0044416416436433796,0.005552052
2013-05-24,0.8,-0.0034068152,0.0016738240422553387,0.000726598221808672,0.0009082478
2013-05-27,0.8,-0.004862793,0.0002985353111132449,0.013660264015197755,0.01707533
2013-05-28,0.8,-0.0017932914,0.00018374050245384147,-0.0005447406321763993,-0.0006809258
2013-05-29,0.8,-0.003915604,0.003887879989361997,-0.002498448081314564,-0.00312306
2013-05-30,0.8,-0.0051430464,0.002249129474297089,-0.008514892309904099,-0.010643615
2013-05-31,0.8,0.0021287873,0.00031287301864619285,-0.0011702711693942548,-0.001462839
2013-06-03,0.8,-0.006697435,0.0012540568537899326,-0.011439181119203569,-0.014298976
2013-06-04,0.8,-0.003176231,0.0008977973271193963,-0.0016011834144592286,-0.0020014793
2013-06-05,0.8,-0.0027152225,0.00012621193943723725,-0.01028239279985428,-0.012852991
2013-06-06,0.8,-0.0029336587,5.9675653813984676e-05,-0.013944487273693086,-0.01743061
2013-06-07,0.8,-0.0017085746,0.00017172041082189686,-0.027592670917510987,-0.03449084
2013-06-13,0.8,-0.0019770525,0.011398679280506425,0.005590560659766198,0.006988201
2013-06-14,1.0,0.0028504767,0.6761492762804083,-0.005464479031413794,-0.005364479
2013-06-17,1.0,-0.004061416,0.8909545964509661,0.006183418910950422,0.006183419
2013-06-18,1.0,-0.0013923459,0.9531195039198127,-0.007465524133294821,-0.007465524
2013-06-19,1.0,-0.005785577,0.9895243955680225,-0.03358474746346474,-0.033584747
2013-06-20,1.0,-0.0028506145,0.9591672489144797,-0.0017590533243492246,-0.0017590533
2013-06-21,1.0,-0.002622854,0.7646203956241454,-0.06515693664550781,-0.06515694
2013-06-24,1.0,-0.007280983,0.602119576279714,-0.0026702778413891792,-0.0026702778
2013-06-25,1.2,0.010268092,7.692376045363639e-07,0.0014949347987771033,0.0013291123
2013-06-26,1.2,0.0055607483,1.6016111797544896e-05,-0.004191233776509762,-0.0034926948
2013-06-27,1.2,0.0092655085,3.372486276283089e-06,0.02195696532726288,0.018297471
2013-06-28,1.2,0.0073856525,4.116928780020031e-06,0.006894508190453052,0.0057454235
2013-07-01,1.2,-0.0014070049,0.0001382164831107631,0.004686047416180372,0.0039050395
2013-07-02,1.0,-0.013139438,0.6356733270866024,-0.008301934397220611,-0.008201934
2013-07-03,0.8,-0.0072031543,0.07150357531236362,0.006461547517776489,0.008201934
2013-07-04,0.8,-0.005259998,0.031583836670465625,0.0017514724284410478,0.0021893405
2013-07-05,0.8,-0.0061322153,0.0072429964675525885,-0.023044228553771973,-0.028805286
2013-07-08,0.8,-0.006657876,0.0038217475160932978,-0.0003513403004035354,-0.00043917538
2013-07-09,1.2,-0.00307405,0.257935866113704,0.03338894139528274,0.027990784
2013-07-10,1.2,-0.002606213,0.22632104120338542,0.05413476079702377,0.0451123
2013-07-11,1.2,-0.00576495,0.11592183689005325,-0.026764775812625884,-0.02230398
2013-07-12,1.2,0.0008651577,0.00021864424718378515,0.01672239974141121,0.013935333
